,nome,cpf,idade,data,endereco,estado,pais
0,Sr. Gustavo Campos,104.658.729-30,53,13/01/1971,"Estrada Asafe Cassiano, 92
Conjunto Califórnia Ii
70004364 Sampaio / CE",Goiás,Brasil
1,Cecilia Vasconcelos,207.956.348-38,57,26/06/1967,"Residencial de Camargo, 802
Caetano Furquim
34989327 Cavalcanti / ES",Acre,Brasil
2,Luan Azevedo,138.265.097-30,52,29/01/1972,"Viela Vieira
Boa Viagem
99849097 Fogaça Verde / AC",Roraima,Brasil
3,Sophia Abreu,561.742.380-08,51,09/02/1973,"Largo Vieira, 34
Vila Jardim Alvorada
30468411 das Neves dos Dourados / ES",Acre,Brasil
4,Davi Miguel Rocha,091.587.634-57,21,13/07/2003,"Setor Sales, 33
Castanheira
26167284 Câmara Grande / SP",Santa Catarina,Brasil
5,Davi Luiz Barbosa,129.547.038-14,59,23/12/1964,"Recanto Cirino, 46
Marçola
36595908 da Paz do Galho / PB",Distrito Federal,Brasil
6,Lunna Macedo,587.921.304-88,59,27/11/1964,"Favela Emilly Vieira, 6
Cidade Jardim
51822769 Rios das Pedras / MS",Rio Grande do Norte,Brasil
7,Emanuel Novaes,679.182.053-59,53,28/12/1970,"Recanto Beatriz Monteiro, 156
Itatiaia
13076221 Silva / AC",Tocantins,Brasil
8,Maria Luiza da Conceição,528.493.076-29,54,04/08/1970,"Vale de da Conceição, 862
Olaria
05311-853 Campos / SC",Rio Grande do Norte,Brasil
9,Cecilia Rocha,304.691.857-75,47,13/10/1976,"Recanto Enzo Gabriel Pimenta, 387
Nova Esperança
59431-201 Aparecida de Barros / MS",Sergipe,Brasil
